5s,15s,5s,3n,4s,2s,Mean Discharge(cfs)
USGS,8279500,60,99708,2000,1,609.3
USGS,8279500,60,99708,2000,2,637.4
USGS,8279500,60,99708,2000,3,509.9
USGS,8279500,60,99708,2000,4,508.7
USGS,8279500,60,99708,2000,5,500.7
USGS,8279500,60,99708,2000,6,328.7
USGS,8279500,60,99708,2000,7,228.7
USGS,8279500,60,99708,2000,8,194.1
USGS,8279500,60,99708,2000,9,174
USGS,8279500,60,99708,2000,10,238
USGS,8279500,60,99708,2000,11,334.3
USGS,8279500,60,99708,2000,12,398
USGS,8279500,60,99708,2001,1,405.4
USGS,8279500,60,99708,2001,2,480.7
USGS,8279500,60,99708,2001,3,674.9
USGS,8279500,60,99708,2001,4,712.7
USGS,8279500,60,99708,2001,5,2024
USGS,8279500,60,99708,2001,6,1638
USGS,8279500,60,99708,2001,7,621.7
USGS,8279500,60,99708,2001,8,344.3
USGS,8279500,60,99708,2001,9,259.3
USGS,8279500,60,99708,2001,10,256.4
USGS,8279500,60,99708,2001,11,345.3
USGS,8279500,60,99708,2001,12,446.9
USGS,8279500,60,99708,2002,1,450.1
USGS,8279500,60,99708,2002,2,458.8
USGS,8279500,60,99708,2002,3,518.5
USGS,8279500,60,99708,2002,4,286.8
USGS,8279500,60,99708,2002,5,188.6
USGS,8279500,60,99708,2002,6,179.8
USGS,8279500,60,99708,2002,7,162.7
USGS,8279500,60,99708,2002,8,151.3
USGS,8279500,60,99708,2002,9,172.6
USGS,8279500,60,99708,2002,10,200.5
USGS,8279500,60,99708,2002,11,267.1
USGS,8279500,60,99708,2002,12,307.4
USGS,8279500,60,99708,2003,1,354.5
USGS,8279500,60,99708,2003,2,395.5
USGS,8279500,60,99708,2003,3,395.5
USGS,8279500,60,99708,2003,4,364.8
USGS,8279500,60,99708,2003,5,641.2
USGS,8279500,60,99708,2003,6,550.5
USGS,8279500,60,99708,2003,7,240.8
USGS,8279500,60,99708,2003,8,196.2
USGS,8279500,60,99708,2003,9,236
USGS,8279500,60,99708,2003,10,219.9
USGS,8279500,60,99708,2003,11,289
USGS,8279500,60,99708,2003,12,388.1
USGS,8279500,60,99708,2004,1,405.1
USGS,8279500,60,99708,2004,2,397.6
USGS,8279500,60,99708,2004,3,855.8
USGS,8279500,60,99708,2004,4,732
USGS,8279500,60,99708,2004,5,1252
USGS,8279500,60,99708,2004,6,755.1
USGS,8279500,60,99708,2004,7,375.1
USGS,8279500,60,99708,2004,8,233.5
USGS,8279500,60,99708,2004,9,193.1
USGS,8279500,60,99708,2004,10,267
USGS,8279500,60,99708,2004,11,532.7
USGS,8279500,60,99708,2004,12,480.3
USGS,8279500,60,99708,2005,1,546.8
USGS,8279500,60,99708,2005,2,620.3
USGS,8279500,60,99708,2005,3,666.8
USGS,8279500,60,99708,2005,4,1539
USGS,8279500,60,99708,2005,5,3486
USGS,8279500,60,99708,2005,6,2916
USGS,8279500,60,99708,2005,7,1019
USGS,8279500,60,99708,2005,8,405.7
USGS,8279500,60,99708,2005,9,262.9
USGS,8279500,60,99708,2005,10,409.1
USGS,8279500,60,99708,2005,11,620.8
USGS,8279500,60,99708,2005,12,481.6
USGS,8279500,60,99708,2006,1,498.4
USGS,8279500,60,99708,2006,2,498.8
USGS,8279500,60,99708,2006,3,508.7
USGS,8279500,60,99708,2006,4,414.9
USGS,8279500,60,99708,2006,5,465.7
USGS,8279500,60,99708,2006,6,421.8
USGS,8279500,60,99708,2006,7,353.5
USGS,8279500,60,99708,2006,8,489.3
USGS,8279500,60,99708,2006,9,480.1
USGS,8279500,60,99708,2006,10,756.2
USGS,8279500,60,99708,2006,11,874.4
USGS,8279500,60,99708,2006,12,605.5
USGS,8279500,60,99708,2007,1,562.7
USGS,8279500,60,99708,2007,2,613
USGS,8279500,60,99708,2007,3,1153
USGS,8279500,60,99708,2007,4,874.6
USGS,8279500,60,99708,2007,5,1300
USGS,8279500,60,99708,2007,6,885.1
USGS,8279500,60,99708,2007,7,477.4
USGS,8279500,60,99708,2007,8,553.6
USGS,8279500,60,99708,2007,9,479.9
USGS,8279500,60,99708,2007,10,478
USGS,8279500,60,99708,2007,11,544.8
USGS,8279500,60,99708,2007,12,632.2
USGS,8279500,60,99708,2008,1,525.5
USGS,8279500,60,99708,2008,2,656.7
USGS,8279500,60,99708,2008,3,943.1
USGS,8279500,60,99708,2008,4,1626
USGS,8279500,60,99708,2008,5,2511
USGS,8279500,60,99708,2008,6,2313
USGS,8279500,60,99708,2008,7,896.4
USGS,8279500,60,99708,2008,8,382.7
USGS,8279500,60,99708,2008,9,310.4
USGS,8279500,60,99708,2008,10,336.9
USGS,8279500,60,99708,2008,11,375
USGS,8279500,60,99708,2008,12,446.1
USGS,8279500,60,99708,2009,1,561
USGS,8279500,60,99708,2009,2,633.9
USGS,8279500,60,99708,2009,3,911.4
USGS,8279500,60,99708,2009,4,990.7
USGS,8279500,60,99708,2009,5,2496
USGS,8279500,60,99708,2009,6,1242
USGS,8279500,60,99708,2009,7,614
USGS,8279500,60,99708,2009,8,272.1
USGS,8279500,60,99708,2009,9,278.2
USGS,8279500,60,99708,2009,10,330.9
USGS,8279500,60,99708,2009,11,398.1
USGS,8279500,60,99708,2009,12,440.9
USGS,8279500,60,99708,2010,1,474.2
USGS,8279500,60,99708,2010,2,511.2
USGS,8279500,60,99708,2010,3,713.7
USGS,8279500,60,99708,2010,4,1449
USGS,8279500,60,99708,2010,5,1555
USGS,8279500,60,99708,2010,6,1249
USGS,8279500,60,99708,2010,7,374.8
USGS,8279500,60,99708,2010,8,414.6
USGS,8279500,60,99708,2010,9,254.3
USGS,8279500,60,99708,2010,10,270.2
USGS,8279500,60,99708,2010,11,487.3
USGS,8279500,60,99708,2010,12,550
USGS,8279500,60,99708,2011,1,462
USGS,8279500,60,99708,2011,2,498.8
USGS,8279500,60,99708,2011,3,577.5
USGS,8279500,60,99708,2011,4,331
USGS,8279500,60,99708,2011,5,461.6
USGS,8279500,60,99708,2011,6,806
USGS,8279500,60,99708,2011,7,564.4
USGS,8279500,60,99708,2011,8,329.8
USGS,8279500,60,99708,2011,9,273.9
USGS,8279500,60,99708,2011,10,379.1
USGS,8279500,60,99708,2011,11,671.9
USGS,8279500,60,99708,2011,12,484.3
USGS,8279500,60,99708,2012,1,490.3
USGS,8279500,60,99708,2012,2,530.5
USGS,8279500,60,99708,2012,3,842.1
USGS,8279500,60,99708,2012,4,820.7
USGS,8279500,60,99708,2012,5,601.4
USGS,8279500,60,99708,2012,6,323.4
USGS,8279500,60,99708,2012,7,249
USGS,8279500,60,99708,2012,8,220.7
USGS,8279500,60,99708,2012,9,217.1
USGS,8279500,60,99708,2012,10,232.1
USGS,8279500,60,99708,2012,11,314.3
USGS,8279500,60,99708,2012,12,384.9
USGS,8279500,60,99708,2013,1,366.6
USGS,8279500,60,99708,2013,2,428.1
USGS,8279500,60,99708,2013,3,537.9
USGS,8279500,60,99708,2013,4,372.5
USGS,8279500,60,99708,2013,5,307.5
USGS,8279500,60,99708,2013,6,243.4
USGS,8279500,60,99708,2013,7,202
USGS,8279500,60,99708,2013,8,259.3
USGS,8279500,60,99708,2013,9,474.1
USGS,8279500,60,99708,2013,10,531.7
USGS,8279500,60,99708,2013,11,645.5
USGS,8279500,60,99708,2013,12,514.3
USGS,8279500,60,99708,2014,1,473.1
USGS,8279500,60,99708,2014,2,544.6
USGS,8279500,60,99708,2014,3,690.8
USGS,8279500,60,99708,2014,4,477.2
USGS,8279500,60,99708,2014,5,677.9
USGS,8279500,60,99708,2014,6,922.5
USGS,8279500,60,99708,2014,7,557.2
USGS,8279500,60,99708,2014,8,487.5
USGS,8279500,60,99708,2014,9,317.3
USGS,8279500,60,99708,2014,10,484.4
USGS,8279500,60,99708,2014,11,658.3
USGS,8279500,60,99708,2014,12,593.8
USGS,8279500,60,99708,2015,1,527.3
USGS,8279500,60,99708,2015,2,647.2
USGS,8279500,60,99708,2015,3,1036
USGS,8279500,60,99708,2015,4,691.3
USGS,8279500,60,99708,2015,5,1054
USGS,8279500,60,99708,2015,6,1567
USGS,8279500,60,99708,2015,7,1078
USGS,8279500,60,99708,2015,8,509
USGS,8279500,60,99708,2015,9,326.6
USGS,8279500,60,99708,2015,10,327.6
USGS,8279500,60,99708,2015,11,620.2
USGS,8279500,60,99708,2015,12,581.1
USGS,8279500,60,99708,2016,1,527.1
USGS,8279500,60,99708,2016,2,695.3
USGS,8279500,60,99708,2016,3,965.8
USGS,8279500,60,99708,2016,4,828.9
USGS,8279500,60,99708,2016,5,1391
USGS,8279500,60,99708,2016,6,1780
USGS,8279500,60,99708,2016,7,536.7
USGS,8279500,60,99708,2016,8,288.6
USGS,8279500,60,99708,2016,9,252.1
USGS,8279500,60,99708,2016,10,256.7
USGS,8279500,60,99708,2016,11,400.6
USGS,8279500,60,99708,2016,12,506.7
USGS,8279500,60,99708,2017,1,531.3
USGS,8279500,60,99708,2017,2,682.6
USGS,8279500,60,99708,2017,3,1135
USGS,8279500,60,99708,2017,4,1583
USGS,8279500,60,99708,2017,5,2529
USGS,8279500,60,99708,2017,6,2014
USGS,8279500,60,99708,2017,7,530
USGS,8279500,60,99708,2017,8,452.1
USGS,8279500,60,99708,2017,9,305.4
USGS,8279500,60,99708,2017,10,510.8
USGS,8279500,60,99708,2017,11,582
USGS,8279500,60,99708,2017,12,568.2
USGS,8279500,60,99708,2018,1,506.8
USGS,8279500,60,99708,2018,2,556.1
USGS,8279500,60,99708,2018,3,534.5
USGS,8279500,60,99708,2018,4,294.6
USGS,8279500,60,99708,2018,5,284.7
USGS,8279500,60,99708,2018,6,214.2
USGS,8279500,60,99708,2018,7,152.9
USGS,8279500,60,99708,2018,8,159.2
USGS,8279500,60,99708,2018,9,162.7
USGS,8279500,60,99708,2018,10,177.1
USGS,8279500,60,99708,2018,11,213.9
USGS,8279500,60,99708,2018,12,326.2
USGS,8279500,60,99708,2019,1,345.3
USGS,8279500,60,99708,2019,2,410.8
USGS,8279500,60,99708,2019,3,659.2
USGS,8279500,60,99708,2019,4,1055
USGS,8279500,60,99708,2019,5,2443
USGS,8279500,60,99708,2019,6,3763
USGS,8279500,60,99708,2019,7,2347
USGS,8279500,60,99708,2019,8,1128
USGS,8279500,60,99708,2019,9,503.4
USGS,8279500,60,99708,2019,10,361.3
USGS,8279500,60,99708,2019,11,403.1
USGS,8279500,60,99708,2019,12,506.2
